TransactionID,id_01,id_02,DeviceType,DeviceInfo
3000006,1.7298852685356247,400184,desktop,Android
3000008,2.6268766896783835,358937,desktop,iOS Device
3000011,-12.020892998762424,281681,desktop,Windows
3000012,-6.666203781984507,303890,mobile,Android
3000013,-13.239725949996572,247123,mobile,iOS Device
3000014,-15.195956694663034,180147,mobile,Android
3000017,-7.092478901268534,233084,mobile,iOS Device
3000020,-3.2487908016496414,352335,mobile,MacOS
3000021,14.131761617700558,455561,mobile,iOS Device
3000023,8.008907768281073,351295,desktop,Windows
3000024,-6.099975598125594,389649,mobile,Windows
3000025,10.080545518267336,121470,mobile,Windows
3000028,-22.780392611729607,365499,desktop,Windows
3000037,-2.987559340206088,412098,mobile,Windows
3000046,-12.444700047950462,384568,mobile,Windows
3000048,-11.605958557839946,89650,mobile,iOS Device
3000050,-24.978094111548376,257429,desktop,iOS Device
3000055,4.459112042182617,473563,mobile,iOS Device
3000059,2.371462483648404,60520,desktop,Android
3000062,-18.80206407432783,51901,mobile,Windows
3000063,-9.911332109129175,177956,mobile,MacOS
3000066,7.60745574105921,401211,mobile,Windows
3000074,4.6970342634324975,16156,desktop,Windows
3000077,25.058438551253026,442760,mobile,Windows
3000078,-0.59807045431091,285090,desktop,iOS Device
3000082,-0.5029879349034927,310918,desktop,iOS Device
3000083,-20.6282413061396,40742,mobile,Android
3000088,5.830106768972674,138630,mobile,Android
3000090,-18.214631811863573,489926,mobile,Windows
3000093,-1.2956242371709163,53312,desktop,Windows
3000099,-5.926188751366725,363487,mobile,Android
3000100,-9.146955897449164,399565,mobile,Windows
3000105,-15.679538072492923,199653,mobile,Windows
3000106,-5.974083047010708,51143,mobile,iOS Device
3000110,-2.504412009447357,75407,mobile,MacOS
3000114,-9.6511632251573,63436,mobile,Windows
3000116,-14.610487757381986,295149,desktop,MacOS
3000121,-8.588985714596397,304908,mobile,iOS Device
3000123,3.9142050538413398,486825,mobile,Windows
3000127,-13.245371100477012,384049,desktop,Windows
3000128,12.62384390667372,461309,mobile,iOS Device
3000130,-5.697385590162021,453060,mobile,Android
3000131,9.0691787572386,280937,mobile,iOS Device
3000134,4.887697792612304,138459,mobile,Windows
3000141,2.646933137909474,314230,desktop,iOS Device
3000142,-14.567969790543314,215403,desktop,iOS Device
3000146,6.326008222385329,143211,mobile,Windows
3000148,-12.544730159630184,390093,mobile,Windows
3000150,-16.005916229926587,96077,mobile,iOS Device
3000152,-5.510748121655549,52065,desktop,Windows
3000157,15.828390648708833,231691,mobile,MacOS
3000166,-14.937927924227912,202373,desktop,Windows
3000167,-13.099697011407802,302721,mobile,Windows
3000185,-4.392365829156059,318837,mobile,Windows
3000192,10.691047552785681,494179,mobile,iOS Device
3000202,-9.510022269480624,126027,desktop,iOS Device
3000207,10.222102745446197,453853,desktop,Windows
3000225,-9.522504055118931,487695,desktop,Windows
3000229,-0.8565821523398837,291965,desktop,Windows
3000231,-8.954514701089733,318409,mobile,Windows
3000236,-19.620056294209256,472704,desktop,iOS Device
3000238,-5.959408045577981,74118,mobile,Windows
3000244,-8.016015065568736,489889,desktop,Windows
3000250,-8.500456433346773,236351,mobile,Android
3000254,-10.29807049391598,337536,mobile,Android
3000258,-9.155702788357141,103400,mobile,iOS Device
3000261,-12.20393062410189,434919,desktop,Android
3000262,1.3533283476100544,177683,desktop,MacOS
3000263,-10.087313139107136,477051,mobile,MacOS
3000269,3.574627638286655,485057,desktop,MacOS
3000272,5.302776206467019,204515,mobile,iOS Device
3000273,9.537346325665784,384702,desktop,Windows
